"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT21"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-11","5.82",,"0.00","0.0","0.0",,"68","37","  350","  310","15.0","19.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-12","7.16",,"0.00","0.0","0.0",,"78","31","  190","  210","21.0","28.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-13","6.71",,"0.00","0.0","0.0",,"76","37","  180","  160","15.0","21.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-14","8.50",,"0.00","0.0","0.0",,"79","39","  170","  190","19.9","23.9","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-15","10.96",,"0.00","0.0","0.0",,"81","44","  190","  170","23.9","31.1",,,,,,,,"    1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-16","13.87",,"0.00","0.0","0.0",,"85","52","  180","  140","23.9","38.0","    1",,,,,,,,,,"    1",,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-17","10.29",,"0.00","0.0","0.0",,"84","64","  180","  170","23.0","30.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-18","9.84",,"0.00","0.0","0.0",,"90","60","   20","   30","21.0","25.1","    1",,,,,,,"    1",,,"    1",,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-19","7.61",,"0.08","0.0","0.0",,"83","44","  360","  360","25.1","32.0",,,"    1",,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-20","10.51",,"0.21","0.0","0.0",,"72","49","   20","   30","31.1","36.9",,,"    1",,,,,,,,"    1",,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-21","11.63",,"0.00","0.0","0.0",,"76","48","  170","  180","23.9","32.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-22","9.40",,"0.00","0.0","0.0",,"85","55","   40","   50","21.9","25.9","    1",,,,,,,,,,"    1","    1",,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-23","8.50",,"0.02","0.0","0.0",,"76","52","   10","   20","17.0","21.0",,,,,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-24","16.78",,"0.00","0.0","0.0",,"61","37","  350","  350","32.0","44.1","    1",,,,,,,,,,"    1",,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-25","9.62",,"0.00","0.0","0.0",,"59","33","   20","   20","21.0","28.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-26","3.58",,"0.00","0.0","0.0",,"64","26","  190","  120","10.1","15.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-27","9.40",,"0.00","0.0","0.0",,"71","30","  180","  150","21.9","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-28","10.29",,"0.00","0.0","0.0",,"75","51","  180","  180","21.9","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-29","9.62",,"0.00","0.0","0.0",,"80","51","  180","  190","19.9","25.9","    1",,,,,,,,,,"    1",,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-30","10.07",,"0.00","0.0","0.0",,"85","64","  170","  180","21.0","25.9",,,,,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-31","6.71",,"0.00","0.0","0.0",,"77","57","   30","   60","17.9","21.0",,,,,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-01","5.82",,"0.00","0.0","0.0","68","86","54","  160","  150","19.9","25.9","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-02","8.95",,"2.57","0.0","0.0","69","75","54","   70","  280","30.0","38.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-03","10.51",,"0.45","0.0","0.0","57","57","50","   20","   10","23.0","28.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-04","10.51",,"0.00","0.0","0.0","52","61","45","  350","  350","19.9","25.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-05","4.70",,"0.00","0.0","0.0","52","72","36","  150","  160","14.1","18.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-06","12.53",,"0.00","0.0","0.0","63","82","50","  180","  190","23.0","33.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-07","13.42",,"0.00","0.0","0.0","70","84","63","  150","  140","23.9","31.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-08","14.09",,"0.00","0.0","0.0","71","77","67","  140","  140","23.9","31.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-09","14.76",,"0.00","0.0","0.0","75","86","71","  160","  150","23.9","31.1",,,,,,,,"    1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-10","15.66",,"0.15","0.0","0.0","64","74","46","  350","  340","19.9","32.0","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-11","7.61",,"0.00","0.0","0.0","53","66","44","   10","   20","25.1","29.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-12","4.92",,"0.00","0.0","0.0","58","81","39","  150","  150","14.1","18.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-13","4.92",,"0.00","0.0","0.0","63","78","44","  120","  120","15.0","19.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-14","8.95",,"0.00","0.0","0.0","67","86","51","  190","  200","21.0","28.0","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-15","12.97",,"0.00","0.0","0.0","76","88","69","  160","  180","21.0","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-16","11.41",,"0.00","0.0","0.0","77","85","65","  140","  140","21.0","28.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-17","14.32",,"0.00","0.0","0.0","77","84","73","  150","  140","23.9","31.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-18","15.66",,"0.36","0.0","0.0","68","76","52","  340","  340","28.0","36.9","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-19","10.07",,"0.00","0.0","0.0","57","69","40","  360","  360","23.9","31.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-20","7.61",,"0.00","0.0","0.0","53","72","33","  150","  150","18.1","23.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-21","5.59",,"0.00","0.0","0.0","62","78","44","  160","  160","14.1","19.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-22","8.50",,"0.00","0.0","0.0","67","84","48","  160","  160","19.9","25.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-23","12.53",,"0.06","0.0","0.0","71","79","49","   10","  360","23.0","25.9","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-24","16.55",,"0.00","0.0","0.0","54","65","45","   30","  350","25.9","33.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-25","6.93",,"0.00","0.0","0.0","60","71","55","   30","   40","16.1","19.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-26","10.07",,"0.02","0.0","0.0","68","80","61","  180","  160","19.9","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-27","5.59",,"0.06","0.0","0.0","74","81","68","  140","  120","18.1","23.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-28","5.82",,"0.00","0.0","0.0","73","85","58","  180","  210","17.0","21.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-29","5.82",,"1.89","0.0","0.0","73","83","63","  160","  150","25.1","32.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-04-30","3.36",,"0.00","0.0","0.0","68","83","61","  150","  100","10.1","16.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-01","5.59",,"0.00","0.0","0.0","74","87","65","  150","  140","16.1","21.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-02","18.34",,"0.01","0.0","0.0","65","74","49","  350","  360","30.0","38.9",,,"    1",,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-03","12.53",,"0.00","0.0","0.0","54","70","42","  350","   10","30.0","36.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-04","5.59",,"0.00","0.0","0.0","59","85","37","  230","  240","19.9","25.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-05","8.05",,"0.00","0.0","0.0","62","77","46","  360","  360","17.0","23.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-06","1.34",,"0.00","0.0","0.0","61","76","45","   40","  230","8.9","13.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-07","5.82",,"0.00","0.0","0.0","64","85","45","  190","  190","15.0","21.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-08","11.86",,"0.00","0.0","0.0","73","85","61","  170","  170","21.9","28.0","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-09","8.72",,"0.01","0.0","0.0","74","79","66","  120","  120","21.9","30.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-10","8.05",,"1.07","0.0","0.0","72","86","61","  300","  310","33.1","45.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-05-11","10.07",,"0.00","0.0","0.0","71","82","61","   20","   30","21.0","25.9",,,,,,,,,,,,,,
